# Moller et al. 2024 
# SNe Ia selected with SuperNNova without host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology In DES+2024 
# Contains HQ cuts using SNphoto z fit with SALT2 
# zHD, c, x1 are derived simultanoeusly  
# all_class0_s* probabilities for different models  
# ensemble=average_probability_set_0  
SNID,IAUC,SNTYPE,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_MAG_r,HOSTGAL_MAGERR_r,zHD,zHDERR,x1,x1ERR,c,cERR,FITPROB,all_class0_S_0,all_class0_S_55,all_class0_S_100,all_class0_S_1000,all_class0_S_30469,average_probability_set_0
1380115,DES16E2yu       ,0,0.8488,0.001,0.8501,0.001,10.28,0.05,23.35,99.0,0.79041,0.01501,1.81841,0.72794,0.0417843,0.0468331,0.15683,0.99249697,0.99199826,0.98885125,0.991679,0.99547005,0.9920991
1380167,DES16C3vb       ,0,0.7533,0.001,0.754,0.001,9.73,0.02,23.38,99.0,0.7247,0.00534,0.12994,0.30194,-0.0833984,0.020365,0.18416,0.9959299,0.99998605,0.99999106,0.999801,0.99999166,0.9991399
1380221,DES16X3uz       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,24.58,99.0,1.09629,0.01554,0.77145,0.45643,-0.141348,0.0263241,0.75832,0.9952826,0.9986628,0.99756193,0.998212,0.9991449,0.9977729
1381152,DES16C3ts       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,25.15,99.0,0.86851,0.01342,-1.49904,0.76818,0.0599348,0.0459113,0.53033,0.9886891,0.99467576,0.9991648,0.99937326,0.98843634,0.99406785
1382058,DES16X2aed      ,0,0.572,0.001,0.5733,0.001,10.47,0.05,22.3,99.0,0.72757,0.00144,-0.748072,0.72978,-0.117559,0.0417387,0.13411,0.47664666,0.34279716,0.7780775,0.9150463,0.6423429,0.6309821
1383024,DES16C3vr       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,26.18,99.0,1.11248,0.00823,1.17872,0.4255,-0.0949024,0.0231994,0.65801,0.764706,0.9340731,0.3158573,0.8016151,0.9519111,0.75363255
1385052,DES16X3afx      ,0,0.8011,0.001,0.8025,0.001,10.89,0.06,23.92,99.0,0.62097,0.00818,-2.26185,0.47887,0.11047,0.0342001,0.0150363,0.87407273,0.9806553,0.8152708,0.5865311,0.9997143,0.85124886
1385187,DES16S1afw      ,0,0.5221,0.001,0.5232,0.001,9.14,0.03,23.33,99.0,0.53022,0.00535,1.00494,0.38838,-0.0245727,0.0293853,0.11396,0.915356,0.9999678,0.9998135,0.99949384,0.9907693,0.98108006
1386047,DES16X3zd       ,1,0.4938,0.001,0.495,0.001,10.43,0.02,22.25,99.0,0.55025,0.00067,-0.743788,0.25142,-0.0573237,0.0189416,0.76615,0.9999976,0.9999938,0.9999908,0.9999981,0.9999893,0.9999939
1387101,DES16S2afz      ,1,0.4807,0.001,0.4818,0.001,8.99,0.39,23.84,99.0,0.47295,0.00917,1.16296,0.33047,-0.0234971,0.0273496,0.81434,0.9991357,0.9999957,0.9999386,0.99996185,0.999902,0.99978673
1387144,DES16C1zv       ,1,0.4895,0.005,-9.99,-9999.0,-999.0,-999.0,23.88,99.0,0.57312,0.00089,0.76907,0.26287,-0.177548,0.0184938,0.1745,1.0,1.0,0.99999976,0.99999976,1.0,0.9999999
1387162,DES16C1ajb      ,0,0.6175,0.001,0.6181,0.001,10.22,0.02,22.97,99.0,0.63158,0.01895,-0.102686,0.65497,0.0901791,0.0476647,0.97337,0.99309057,0.99625254,0.99599093,0.99348587,0.9933937,0.99444276
